2024-11-25 23:09:58 - Ethernet - Source: d4:a6:51:41:aa:fe, Destination: ff:ff:ff:ff:ff:ff, Size: 214 bytes
2024-11-25 23:09:58 - UDP - Source: 192.168.1.194, Destination: 255.255.255.255, Size: 214 bytes
2024-11-25 23:09:58 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:58 - TCP - Source: 192.168.1.200, Destination: 185.26.182.106, Size: 66 bytes
2024-11-25 23:09:58 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 110 bytes
2024-11-25 23:09:59 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 1454 bytes
2024-11-25 23:09:59 - TCP - Source: 57.153.124.226, Destination: 192.168.1.200, Size: 1454 bytes
2024-11-25 23:09:59 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:59 - TCP - Source: 192.168.1.200, Destination: 57.153.124.226, Size: 66 bytes
2024-11-25 23:10:00 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 120 bytes
2024-11-25 23:10:00 - UDP - Source: 216.58.208.234, Destination: 192.168.1.200, Size: 120 bytes
2024-11-25 23:10:00 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 64 bytes
2024-11-25 23:10:00 - UDP - Source: 216.58.208.234, Destination: 192.168.1.200, Size: 64 bytes
2024-11-25 23:10:00 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 74 bytes
2024-11-25 23:10:00 - UDP - Source: 192.168.1.200, Destination: 216.58.208.234, Size: 74 bytes
2024-11-25 23:10:00 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:10:00 - TCP - Source: 192.168.1.200, Destination: 86.51.35.24, Size: 66 bytes
